,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
142,142,Audi A1,Sedans,18200,VAT deductible,16500.0,85.0,Used,Automatic,,Benzine,,"Air conditioning,Air suspension,Armrest,Automatic climate control,Auxiliary heating,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Split rear seats,Start-stop system,Tinted windows,Wind deflector","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Shift paddles', 'Sport package', 'Sport suspension', 'Voice Control']","['ABS', 'Adaptive Cruise Control', 'Adaptive headlights', 'Alarm system', 'Central door lock', 'Central door lock with remote control', 'Daytime running lights', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Head airbag', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Night view assist', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",6.0,1.0,No,,,,,,Cloth
767,767,Audi A1,Sedans,20900,,15097.0,70.0,Used,Automatic,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control",['On-board computer'],,['Electronic stability control'],,1.0,No,,,,,,
980,980,Audi A1,Compact,21100,,,85.0,New,Automatic,,other_fuel,,"Air conditioning,Heads-up display,Power windows,Split rear seats",['Radio'],['Alloy wheels'],"['ABS', 'Alarm system', 'Central door lock', 'Driver-side airbag', 'Fog lights', 'Immobilizer', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",6.0,,No,,,,,,
1937,1937,Audi A1,Compact,28490,VAT deductible,,85.0,New,Automatic,,other_fuel,110.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system",['Sound system'],['Alloy wheels'],"['Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Lane departure warning system', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,4.0,5.9,4.2,110.0,Cloth
1951,1951,Audi A1,Compact,27980,VAT deductible,,85.0,New,Automatic,,other_fuel,110.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system",['Sound system'],['Alloy wheels'],"['Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Lane departure warning system', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,4.0,5.9,4.2,110.0,Cloth
2402,2402,Audi A1,Compact,17780,VAT deductible,,70.0,New,Manual,,other_fuel,97.0,"Air conditioning,Automatic climate control,Electrical side mirrors,Power windows",['Radio'],,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,,No,,4.0,5.0,3.7,97.0,
3012,3012,Audi A3,Other,15500,,30005.0,81.0,Used,Manual,,Benzine,,,,,"['ABS', 'Passenger-side airbag']",,3.0,No,,,,,,
3913,3913,Audi A3,Sedans,20440,,24000.0,9.0,Used,Automatic,,Benzine,,,,,,,2.0,No,,,,,,
3976,3976,Audi A3,Station wagon,19900,VAT deductible,32000.0,81.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats']","['ABS', 'Alarm system', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traffic sign recognition', 'Xenon headlights']",6.0,1.0,No,,,,,,Cloth
4090,4090,Audi A3,Sedans,19500,,32000.0,85.0,Used,Manual,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Leather steering wheel,Multi-function steering wheel,Navigation system,Start-stop system","['Bluetooth', 'CD player', 'Hands-free equipment', 'Radio', 'USB']","['Alloy wheels', 'Sport package', 'Sport seats', 'Sport suspension', 'Voice Control']","['ABS', 'Electronic stability control', 'Power steering']",,2.0,No,,,,,,
4206,4206,Audi A3,,18490,,20000.0,92.0,Used,Manual,,other_fuel,117.0,Air conditioning,,,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Side airbag']",,2.0,No,,5.0,6.7,4.1,117.0,
4219,4219,Audi A3,Station wagon,18400,,28500.0,85.0,Used,Manual,,Benzine,,"Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","['Bluetooth', 'CD player', 'Hands-free equipment', 'On-board computer', 'Radio']","['Alloy wheels', 'Roof rack', 'Sport package', 'Sport seats', 'Sport suspension', 'Trailer hitch', 'Voice Control']","['ABS', 'Adaptive headlights', 'Central door lock', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Head airbag', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",6.0,2.0,No,,,,,,Cloth
4297,4297,Audi A3,,17990,,20000.0,92.0,Used,Manual,,other_fuel,117.0,Air conditioning,,,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Side airbag']",,2.0,No,,5.0,6.7,4.1,117.0,
4298,4298,Audi A3,,17990,,20000.0,92.0,Used,Manual,,other_fuel,117.0,Air conditioning,,,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Side airbag']",,2.0,No,,5.0,6.7,4.1,117.0,
4427,4427,Audi A3,Sedans,19900,VAT deductible,12900.0,85.0,Employee's car,Manual,,Benzine,,"Cruise control,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Rain sensor,Seat heating",['USB'],,"['Central door lock', 'Central door lock with remote control', 'Driver-side airbag', 'Head airbag', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag']",,1.0,No,,,,,,
4576,4576,Audi A3,Station wagon,23400,VAT deductible,10800.0,85.0,Used,Automatic,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Panorama roof,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Roof rack', 'Shift paddles', 'Ski bag', 'Sport package', 'Sport seats', 'Sport suspension', 'Touch screen', 'Voice Control']","['ABS', 'Adaptive headlights', 'Blind spot monitor', 'Central door lock', 'Daytime running lights', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",,1.0,No,,,,,,
4769,4769,Audi A3,Sedans,21500,VAT deductible,12000.0,85.0,Used,Manual,,Benzine,,,,,,,1.0,No,,,,,,
4811,4811,Audi A3,Sedans,21478,VAT deductible,8604.0,85.0,Used,Manual,,Benzine,107.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system']","['Alloy wheels', 'Sport seats', 'Sport suspension', 'Trailer hitch']","['ABS', 'Adaptive headlights', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,4.0,4.6,3.7,107.0,Cloth
4989,4989,Audi A3,Sedans,21600,,26600.0,85.0,Used,Manual,,Benzine,106.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Start-stop system","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'USB']","['Alloy wheels', 'Sport suspension', 'Voice Control']","['Fog lights', 'Isofix', 'LED Headlights', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",6.0,1.0,No,,,4.0,,106.0,Cloth
5235,5235,Audi A3,Sedans,25800,VAT deductible,22.0,85.0,Pre-registered,Automatic,,other_fuel,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'CD player', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Shift paddles', 'Voice Control']","['ABS', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Xenon headlights']",,0.0,No,,,,,,Cloth
6542,6542,Opel Astra,Station wagon,17890,VAT deductible,13743.0,110.0,Used,Automatic,,other_fuel,128.0,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,5.0,7.3,4.5,128.0,Cloth
6587,6587,Opel Astra,Station wagon,17850,VAT deductible,29195.0,110.0,Used,Automatic,,other_fuel,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'USB']","['Alloy wheels', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Power steering', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",,1.0,No,,,,,,Cloth
6651,6651,Opel Astra,Station wagon,16900,,29900.0,100.0,Used,Automatic,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'Digital radio', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Touch screen']","['ABS', 'Alarm system', 'Central door lock', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,1.0,No,,,,,,Part leather
6660,6660,Opel Astra,Sedans,17480,VAT deductible,27453.0,110.0,Used,Automatic,,other_fuel,127.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system,Sunroof","['Bluetooth', 'Digital radio', 'Hands-free equipment', 'On-board computer', 'USB']","['Alloy wheels', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",,1.0,No,,5.0,7.2,4.5,127.0,Part leather
6678,6678,Opel Astra,Station wagon,16950,VAT deductible,29178.0,110.0,Used,Automatic,,other_fuel,128.0,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,5.0,7.3,4.5,128.0,Cloth
7057,7057,Opel Astra,Station wagon,18989,VAT deductible,26344.0,110.0,Used,Automatic,,other_fuel,127.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Roof rack', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",,1.0,No,,5.0,7.2,4.5,127.0,Cloth
7058,7058,Opel Astra,Sedans,18990,VAT deductible,28084.0,110.0,Used,Automatic,,other_fuel,127.0,"Air conditioning,Armrest,Cruise control,Electrically adjustable seats,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,Yes,,5.0,7.2,4.5,127.0,Cloth
7121,7121,Opel Astra,Station wagon,18900,,29050.0,110.0,Used,Automatic,,other_fuel,,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,,,,,Cloth
7177,7177,Opel Astra,Sedans,18200,VAT deductible,3260.0,,Used,Automatic,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'MP3', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Traction control']",,0.0,No,12.0,,,,,Cloth
7290,7290,Opel Astra,Compact,15400,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7292,7292,Opel Astra,Compact,15400,,102.0,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7293,7293,Opel Astra,Compact,15400,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7294,7294,Opel Astra,Compact,15400,,102.0,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7320,7320,Opel Astra,Station wagon,14990,VAT deductible,28775.0,100.0,Used,Manual,,Benzine,104.0,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,3.0,4.7,3.5,104.0,Cloth
7321,7321,Opel Astra,Compact,14990,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7322,7322,Opel Astra,Compact,14990,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7323,7323,Opel Astra,Compact,14990,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7324,7324,Opel Astra,Compact,14990,,,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7325,7325,Opel Astra,Compact,14990,,7000.0,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
7326,7326,Opel Astra,Compact,14990,,7000.0,81.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
